store_name,age,info,url,instagram,sta1_shop_url
멜로즈무드,20대,"러블리,모던시크",http://www.melrosemood.com/,melrose_hyoni,https://www.sta1.com/shops/2788?shopType=S&gndr=F
오제이럭셔리,30대,"럭셔리·명품,미시스타일",http://www.ojluxury.com/,"ojluxury_com,ojluxury_official",https://www.sta1.com/shops/78?shopType=S&gndr=F
수앤수,"10대,20대","패션잡화,쥬얼리",http://soo-soo.co.kr,sooandsoo_official,https://www.sta1.com/shops/581?shopType=S&gndr=F
프롬헤드투토,"20대,30대","러블리,심플베이직",http://fromheadtotoe.kr/,fromhead_totoe,https://www.sta1.com/shops/2910?shopType=S&gndr=F
깜장오리,20대,"섹시,페미닌",http://kjoli.com/,kkamjangoli_official,https://www.sta1.com/shops/3164?shopType=S&gndr=F
쿠키마루,10대,십대쇼핑몰,http://www.cookiemaru.kr,cookiemaru,https://www.sta1.com/shops/2770?shopType=S&gndr=F
메이비치,"20대,30대",커플룩·비치룩,http://www.maybeach.co.kr/,MAYBEACH_OFFICIAL,https://www.sta1.com/shops/3010?shopType=S&gndr=F
디프니,20대,"러블리,모던시크",http://www.deepny.com/,deepny_official,https://www.sta1.com/shops/1475?shopType=S&gndr=F
맘누리,"20대,30대","빅사이즈,심플베이직",http://www.momnuri.com,momnuri_korea,https://www.sta1.com/shops/2872?shopType=S&gndr=F
더코코,"20대,30대","럭셔리·명품,페미닌",http://www.thecocomj.co.kr/,cocomj27,https://www.sta1.com/shops/3167?shopType=S&gndr=F
피치피크닉,20대,"유니크,심플베이직",http://www.peachpicnic.com/,no_instagram,https://www.sta1.com/shops/2357?shopType=S&gndr=F
헬로래빗,"10대,20대,30대",패션잡화,http://hellorabbit.kr/,"hellow_rabbit,hellorabbit.kr",https://www.sta1.com/shops/4649?shopType=S&gndr=F
프레클,20대,"모던시크,유니크",http://www.freckle.kr/,freckleseoul,https://www.sta1.com/shops/2748?shopType=S&gndr=F
오렌지플라워,30대,"럭셔리·명품,미시스타일",http://www.orange-flower.co.kr/,orangeflower_official,https://www.sta1.com/shops/260?shopType=S&gndr=F
고니샵,30대,"럭셔리·명품,미시스타일",http://www.gonyshop.com/,gonyunni,https://www.sta1.com/shops/27?shopType=S&gndr=F
미미앤디디,"20대,30대","러블리,페미닌",http://www.mimididi.co.kr/,mimididi_love,https://www.sta1.com/shops/74?shopType=S&gndr=F
퍼빗,"10대,20대","러블리,심플베이직",http://perbit.co.kr/,perbit_,https://www.sta1.com/shops/3138?shopType=S&gndr=F
쥬엔,"20대,30대","럭셔리·명품,페미닌",http://www.jooen.com/,jooen_official,https://www.sta1.com/shops/106?shopType=S&gndr=F
데일리먼데이,"10대,20대","십대쇼핑몰,심플베이직",http://www.dailymonday.com/,dailymonday_korea,https://www.sta1.com/shops/909?shopType=S&gndr=F
마돌,"20대,30대","모던시크,심플베이직",http://www.madol.kr/,mahyunmi,https://www.sta1.com/shops/2934?shopType=S&gndr=F
헤링본,"20대,30대",커플룩·비치룩,http://hrb.kr,herringbone_,https://www.sta1.com/shops/2648?shopType=S&gndr=F
바닐라슈,"10대,20대,30대",슈즈,http://www.vanillashu.co.kr/,vanillashu.co.kr,https://www.sta1.com/shops/224?shopType=S&gndr=F
히니크,"10대,20대","러블리,모던시크",http://www.henique.co.kr/,by_he.nique,https://www.sta1.com/shops/4531?shopType=S&gndr=F
헤이글,"10대,20대","러블리,심플베이직",http://heigl.kr/,no_instagram,https://www.sta1.com/shops/4705?shopType=S&gndr=F
